"Sword of Wealth and Power",BIG
"Sab-Sunen, Luxa Embodied",DFT
"Braided Net // Braided Quipu",LCI
"Chandra, Flameshaper",FDN
"The Unagi of Kyoshi Island",TLA
"Felothar, Dawn of the Abzan",TDM
"Lunar Convocation",PBLB
"Voracious Varmint",OTJ
"ll-Out Assault",TDM
"Swamp",DFT
"Victor, Valgavoth's Seneschal",PDSK
"Superior Spider-Man",OM1
"Fire Magic",FIN
"Summon: G.F. Ifrit",FIN
"Planetarium of Wan Shi Tong",PTLA
"Pollen-Shield Hare // Hare Raising",WOE
"Mazemind Tome",FDN
"Kraul Whipcracker",MKM
"Drake Hatcher",FDN
"Gearbane Orangutan",MKM
"Echoing Cavern",YECL
"Threadbind Clique // Rip the Seams",WOE
"Proft's Eidetic Memory",PMKM
"Hylda's Crown of Winter",PWOE
"Negate",FDN
"Double Down",OTJ
"Mardu Devotee",TDM
"Cavern of Souls",LCI
"Moogles' Valor",FIN
"Moonshadow",PECL
"Grievous Wound",DSK
"Kiora, the Rising Tide",FDN
"First Little Pig",YWOE
"Kinbinding",ECL
"Uthros, Titanic Godcore",EOE
"Season of the Burrow",BLB
"Aang, Swift Savior // Aang and La, Ocean's Fury",PTLA
"Doubling Season",PFDN
"Hushwood Verge",DSK
"Kolodin, Triumph Caster",PDFT
"Doctor Octopus, Master Planner",SPM
"Aang, at the Crossroads // Aang, Destined Savior",TLA
"Avatar Aang // Aang, Master of Elements",TLA
"Stroke of Midnight",WOE
"Glamer Gifter",ECL
"Riverchurn Monument",PDFT
"Spider-Gwen, Free Spirit",OM1
"Dollmaker's Shop // Porcelain Gallery",DSK
"ssassin's Trophy",MKM
"rchenemy's Charm",EOE
"Thrumming Hivepool",PEOE
"Scarlet Spider, Ben Reilly",SPM
"Swamp",TDM
"Spectral Interference",DFT
"Jungle Hollow",FDN
"Kefka, Court Mage // Kefka, Ruler of Ruin",FIN
"Raubahn, Bull of Ala Mhigo",FIN
"Figure of Fable",ECL
"Tendril of the Mycotyrant",LCI
"Sentinel of the Nameless City",PLCI
"Valorous Stance",FDN
"Emissary Escort",EOE
"Revenge of the Rats",FDN
"Seymour Flux",FIN
"Sami, Wildcat Captain",EOE
"Blazemire Verge",DSK
"Fake Your Own Death",FDN
"Cursecloth Wrappings",DFT
"Riftburst Hellion",MKM
"Boiling Rock Rioter",TLA
"Poison Dart Frog",LCI
"rchmage of Runes",FDN
"Shiko, Paragon of the Way",TDM
"Mechanozoa",EOE
"Festival of Embers",PBLB
"Tam, Mindful First-Year",ECL
"Corpses of the Lost",PLCI
"Victory of the Pyrohammer",YWOE
"lania's Pathmaker",BLB
"Stall Out",DFT
"Untamed Hunger",FDN
"Vren, the Relentless",BLB
"Rakdos Joins Up",POTJ
"Shipwreck Sentry",LCI
"Unlucky Drop",LCI
"Dalkovan Encampment",TDM
"Hollowmurk Siege",TDM
"ll-Out Assault",TDM
"Secluded Starforge",PEOE
"Summon: Leviathan",FIN
"Zidane, Tantalus Thief",FIN
"Fire Lord Azula",PTLA
"Evendo, Waking Haven",EOE
"Nashi, Searcher in the Dark",DSK
"Combustion Technique",TLA
"Genemorph Imago",PEOE
"Sylvan Scavenging",FDN
"Emberheart Challenger",PBLB
"Prideful Feastling",ECL
"Venomized Cat",OM1
"The Rise of Sozin // Fire Lord Sozin",PTLA
"Charred Foyer // Warped Space",DSK
"Intrepid Paleontologist",LCI
"rchenemy's Charm",EOE
"Molten Man, Inferno Incarnate",OM1
"Jill, Shiva's Dominant // Shiva, Warden of Ice",FIN
"etherize",FDN
"Champion of the Path",PECL
"Rydia's Return",FIN
"Shroudstomper",DSK
"Snakeskin Veil",OTJ
"Pictures of Spider-Man",SPM
"gatha's Soul Cauldron",PWOE
"Splash Portal",BLB
"Genji Glove",PFIN
"Sharp-Eyed Rookie",MKM
"Calamity, Galloping Inferno",POTJ
"Mine Security",YEOE
"Moogles' Valor",PFIN
"Earth King's Lieutenant",TLA
"Garland, Knight of Cornelia // Chaos, the Endless",FIN
"ssemble the Players",MKM
"Kastral, the Windcrested",PBLB
"Salvation Engine",PDFT
"Pest Control",BIG
"Restless Fortress",PWOE
"Reclamation Sage",FDN
"Surgical Suite // Hospital Room",DSK
"Enduring Tenacity",PDSK
"Blasphemous Edict",FDN
"Gisa, the Hellraiser",POTJ
"Chandra, Spark Hunter",PDFT
"Silk, Web Weaver",OM1
"Improvising Aerialist",YDSK
"Valley Mightcaller",BLB
"Dark Knight's Greatsword",FIN
"ccident-Prone Apprentice // Amphibian Accident",YWOE
"The Rollercrusher Ride",PDSK
"mbush Gigapede",OTJ
"Clive, Ifrit's Dominant // Ifrit, Warden of Inferno",FIN
"Spectacular Spider-Man",SPM
"The Key to the Vault",POTJ
"Spitfire Lagac",FDN
"Hidden Volcano",LCI
"Bristlebane Outrider",ECL
"Steer Clear",OTJ
"Adagia, Windswept Bastion",EOE
"Tasteful Offering",YBLB
"Baron Bertram Graywater",OTJ
"Sephiroth, Planet's Heir",FIN
"Reflective Rimekin",YECL
"Coalstoke Gearhulk",PDFT
"Mechan Navigator",EOE
"Rebellious Captives",TLA
"Hired Claw",BLB
"Fuss // Bother",MKM
"Stormforged Armor",YTDM
"Valley Rally",BLB
"Case of the Burning Masks",MKM
"Skycrash",DFT
"Thundertrap Trainer",BLB
"Narset, Jeskai Waymaster",TDM
"Reaping Willow",ECL
"Dreadmaw's Ire",LCI
"buelo's Awakening",PLCI
"Gateway Sneak",FDN
"Caparocti Sunborn",LCI
"Sunbillow Verge",DFT
"Spirit Water Revival",TLA
"Champion of the Path",ECL
"Arius, Flyby Trawler",YDFT
"High-Society Hunter",PFDN
"Syr Joshua and Syr Saxon",YWOE
"Eddie Brock // Venom, Lethal Protector",SPM
"Icetill Explorer",EOE
"Count on Luck",PDFT
"Chupacabra Echo",LCI
"Clement, the Worrywort",PBLB
"Jace Reawakened",POTJ
"Step Between Worlds",OTJ
"Laughing Jasper Flint",OTJ
"Gutless Plunderer",FDN
"Ripchain Razorkin",DSK
"Unforgiving Overtake",YDFT
"daptive Armorer",YECL
"Coordinated Clobbering",DSK
"Pactdoll Terror",DFT
"Syr Alin, the Lion's Claw",FDN
"G'raha Tia",FIN
"Spectacular Spider-Man",SPM
"Good-Fortune Unicorn",FDN
"Reluctant Role Model",PDSK
"Oscorp Industries",SPM
"Island",EOE
"Lightning Helix",MKM
"Extinguisher Battleship",PEOE
"Radiant Lotus",DFT
"Trostani, Three Whispers",MKM
"Marina Vendrell's Grimoire",DSK
"Barbed Servitor",MKM
"Forest",EOE
"Veteran Ice Climber",TDM
"Overcooked",YWOE
"Rhys, the Evermore",ECL
"Aang, Swift Savior // Aang and La, Ocean's Fury",TLA
"Sting-Slinger",ECL
"Stonehide Ancient // Warning Tremor",YTDM
"Terra, Magical Adept // Esper Terra",PFIN
"Isolated Chapel",YEOE
"Cynical Loner",DSK
"Full Throttle",DFT
"Shiko, Paragon of the Way",PTDM
"Mardu Siegebreaker",TDM
"Leyline of Mutation",PDSK
"Qarsi Revenant",TDM
"ncient Cornucopia",BIG
"Zahur, Glory's Past",PDFT
"The Legend of Kyoshi // Avatar Kyoshi",PTLA
"Lilah, Undefeated Slickshot",OTJ
"Earthbender Ascension",TLA
"Breeding Pool",EOE
"urelia's Vindicator",MKM
"Gumdrop Poisoner // Tempt with Treats",WOE
"Kona, Rescue Beastie",DSK
"Finneas, Ace Archer",PBLB
"Cunning Azurescale // Divining Dive",YTDM
"The Wind Crystal",FIN
"Etrata, Deadly Fugitive",PMKM
"shroot Animist",FDN
"The Millennium Calendar",PLCI
"Bloomvine Regent // Claim Territory",TDM
"Redshift, Rocketeer Chief",PDFT
"Nashi, Searcher in the Dark",DSK
"Throne of the Grim Captain // The Grim Captain",LCI
"Water Wings",WOE
"Secret Tunnel",TLA
"Thopter Fabricator",PDFT
"Iron Spider, Stark Upgrade",SPM
"Ishgard, the Holy See // Faith & Grief",FIN
"Rot Farm Mortipede",MKM
"Trade the Helm",DFT
"Trick Shot",OTJ
"Drowned Catacomb",YEOE
"Tellah, Great Sage",FIN
"Temple of Malady",FDN
"Stonehide Ancient // Warning Tremor",YTDM
"Seasoned Consultant",MKM
"Glitch Ghost Surveyor",DFT
"Overwhelming Surge",TDM
"Walk-In Closet // Forgotten Cellar",PDSK
"Tolsimir, Midnight's Light",PMKM
"Illicit Masquerade",PMKM
"Yuna, Hope of Spira",FIN
"Snowmelt Stag",TDM
"Fresh Start",TDM
"Case of the Ransacked Lab",PMKM
"Krenko, Mob Boss",PFDN
"Dragon Trainer",FDN
"Embereth Veteran",WOE
"Kalakscion, Hunger Tyrant",DFT
"Barrensteppe Siege",PTDM
"Eumidian Lifeseed",YEOE
"Walk with the Ancestors",LCI
"Simulacrum Synthesizer",PBIG
"Tithing Blade // Consuming Sepulcher",LCI
"The Death of Gwen Stacy",SPM
"Cycle of Renewal",TLA
"Ojer Pakpatiq, Deepest Epoch // Temple of Cyclical Time",LCI
"The Aetherspark",DFT
"Marshland Hordemaster",YBLB
"Battlesong Berserker",FDN
"Fanatical Offering",LCI
"Bulwark Ox",DFT
"For the Common Good",BLB
"Burner Rocket",DFT
"Dreamdew Entrancer",PBLB
"Selfless Safewright",ECL
"Moonlit Lamenter",ECL
"Nature's Rhythm",TDM
"Spider-UK",SPM
"Chandra, Spark Hunter",DFT
"Meathook Massacre II",DSK
"Norman Osborn // Green Goblin",OM1
"Bandit's Talent",BLB
"Cursecloth Wrappings",DFT
"Cackling Prowler",FDN
"Bitter Work",TLA
"Voyager Glidecar",PDFT
"You're Not Alone",FIN
"Treetop Sentries",BLB
"Gastal Thrillroller",DFT
"Repurposing Bay",DFT
"Foraging Wickermaw",ECL
"Taster of Wares",ECL
"Jumbo Cactuar",FIN
"Ruinous Waterbending",TLA
"Underground Mortuary",MKM
"Wistfulness",ECL
"Cheering Crowd",SPM
"Gruff Triplets",WOE
"Wicked Visitor",WOE
"Central Elevator // Promising Stairs",PDSK
"Undercover Crocodelf",MKM
"Threadbind Clique // Rip the Seams",WOE
"Dyadrine, Synthesis Amalgam",PEOE
"Restless Anchorage",LCI
"Make Your Move",FDN
"Saheeli, the Sun's Brilliance",LCI
"Overgrown Tomb",PECL
"Fire Nation Palace",TLA
"Thornspire Verge",PDSK
"Cloud, Midgar Mercenary",FIN
"Gumdrop Poisoner // Tempt with Treats",PWOE
"Wistfulness",PECL
"Bogslither's Embrace",ECL
"Risky Research",OM1
"Dragonback Assault",PTDM
"Oura, the Imitator",YECL
"Volatile Rift",YECL
"Unidentified Hovership",PDSK
"Thunder Magic",FIN
"Gruul Guildgate",FDN
"Moonlit Meditation",PEOE
"Spider-Slayer, Hatred Honed",SPM
"gate Assault",BLB
"Sandbenders' Storm",TLA
"Convenient Target",MKM
"Midnight Mayhem",DSK
"Dragon Typhoon",YTDM
"Meltstrider Eulogist",EOE
"Flamewake Phoenix",PFDN
"Scrabbling Skullcrab",DSK
"Brazen Boarding",YLCI
"Relics of the Rubblebelt",YMKM
"Demonic Junker",PDFT
"Minwu, White Mage",FIN
"Unable to Scream",DSK
"Explosive Getaway",DFT
"Jasmine Dragon Tea Shop",TLA
"Benthic Criminologists",MKM
"Pearl Lake Warden // Nesting Instinct",YTDM
"Deathcap Marionette",LCI
"Terror of the Peaks",POTJ
"Cursecloth Wrappings",PDFT
"Predator Ooze",FDN
"Mischievous Pup",FDN
"zure Beastbinder",BLB
"Slickshot Show-Off",POTJ
"Run Over",DFT
"Peer Past the Veil",DSK
"Graveshifter",ECL
"Homicide Investigator",PMKM
"Fang-Druid Summoner",DFT
"Breeding Pool",PEOE
"Peter Parker's Camera",OM1
"Rip, Spawn Hunter",DSK
"Zoyowa Lava-Tongue",LCI
"Temple Garden",PECL
"United Battlefront",TDM
"Toph, Hardheaded Teacher",TLA
"Mosswood Dreadknight // Dread Whispers",WOE
"Gwenom, Remorseless",SPM
"Ozai, the Phoenix King",TLA
"Dawnhand Dissident",ECL
"Draconautics Engineer",DFT
"Gruff Triplets",PWOE
"Zenos yae Galvus // Shinryu, Transcendent Rival",FIN
"Traveling Chocobo",FIN
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied",FIN
"Warden of the Inner Sky",PLCI
"Doc Ock, Sinister Scientist",OM1
"Ezekiel Sims, Spider-Totem",SPM
"Stonesplitter Bolt",WOE
"Lathril, Blade of the Elves",PFDN
"Palani's Hatcher",LCI
"erith Gainsborough",FIN
"Overlord of the Hauntwoods",DSK
"Essence Scatter",FDN
"Mechanical Mobster",OM1
"Vitu-Ghazi Inspector",MKM
"Hazardroot Herbalist",BLB
"Seasoned Warrenguard",BLB
"Soul Immolation",ECL
"Landlore Navigator",YLCI
"Insatiable Avarice",POTJ
"Jet, Freedom Fighter",TLA
"Scavenging Ooze",PFDN
"Terrasymbiosis",PEOE
"Thrill of Possibility",FDN
"Sudden Strike",SPM
"Drill Too Deep",EOE
"Cloud, Midgar Mercenary",FIN
"Thousand Moons Smithy // Barracks of the Thousand",LCI
"Boom Box",OTJ
"Emptiness",ECL
"Jidoor, Aristocratic Capital // Overture",FIN
"Sovereign Okinec Ahau",LCI
"Case of the Locked Hothouse",PMKM
"Tinybones, the Pickpocket",OTJ
"Shadowy Backstreet",MKM
"District Mascot",DFT
"Swamp",WOE
"Rune-Scarred Demon",PFDN
"Kitnap",BLB
"Kaya, Spirits' Justice",MKM
"Alesha, Who Laughs at Fate",FDN
"vatar's Wrath",TLA
"Twining Twins // Swift Spiral",WOE
"Kitnap",BLB
"Rent Is Due",SPM
"Due Diligence",MKM
"Camellia, the Seedmiser",BLB
"Brass's Bounty",PFDN
"Hazoret, Godseeker",DFT
"Giott, King of the Dwarves",FIN
"Exalted Sunborn",EOE
"Flexible Waterbender",TLA
"Ketramose, the New Dawn",DFT
"Pugnacious Hammerskull",LCI
"Outrageous Robbery",MKM
"ppendage Amalgam",DSK
"Marauding Blight-Priest",FDN
"ncient Adamantoise",FIN
"Clement, the Worrywort",BLB
"Duty Beyond Death",TDM
"Goobbue Gardener",FIN
"Twining Twins // Swift Spiral",WOE
"Rocky Rebuke",TLA
"Octopus Form",TLA
"Kulrath Mystic",ECL
"Star Charter",BLB
"Zoraline, Cosmos Caller",PBLB
"The Unagi of Kyoshi Island",PTLA
"Rakshasa's Bargain",TDM
"Gloomlake Verge",DSK
"Formidable Speaker",ECL
"Ghired, Mirror of the Wilds",POTJ
"Grand Ball Guest",WOE
"Hydro-Man, Fluid Felon",SPM
"Spider-Punk",SPM
"Mycelic Ballad",YLCI
"nticausal Vestige",EOE
"Valley Floodcaller",PBLB
"Imodane, the Pyrohammer",PWOE
"Eirdu, Carrier of Dawn // Isilu, Carrier of Twilight",PECL
"One Last Job",POTJ
"Cryptex",MKM
"Mountain",FDN
"Season of the Bold",BLB
"The Legend of Yangchen // Avatar Yangchen",TLA
"Tarnation Vista",BIG
"Meteor Golem",FDN
" Realm Reborn",PFIN
"Unstable Glyphbridge // Sandswirl Wanderglyph",LCI
"Defossilize",LCI
"Tarnation Vista",BIG
"Diamond Mare",FDN
"Daretti, Rocketeer Engineer",PDFT
"urora Awakener",PECL
"SP//dr, Piloted by Peni",SPM
"Commercial District",MKM
"Fanatical Strength",MKM
"Scorpion's Sting",OM1
"Season of the Burrow",BLB
"Plains",WOE
"Island",BLB
"Sidequest: Card Collection // Magicked Card",FIN
"Subterranean Schooner",PLCI
"Debris Beetle",DFT
"Guidelight Pathmaker",DFT
"Ultima",FIN
"Chainsaw",DSK
"Jadelight Spelunker",LCI
"Naga Fleshcrafter",PTDM
"Gogo, Master of Mimicry",FIN
"Dire Downdraft",BLB
"Plains",FDN
"Sapling Nursery",ECL
"Zimone, Paradox Sculptor",FDN
"Bandit's Haul",OTJ
"Ishgard, the Holy See // Faith & Grief",PFIN
"Kaito, Cunning Infiltrator",FDN
"Mischievous Mystic",FDN
"Selesnya Guildgate",FDN
"Huatli, Poet of Unity // Roar of the Fifth People",LCI
"Silent Hallcreeper",DSK
"Quantum Riddler",EOE
"Ego Drain",WOE
"Malicious Eclipse",LCI
"Eluge, the Shoreless Sea",PBLB
"Jazal Goldmane",FDN
"Vigorous Farming",YBLB
"Forest",FDN
"Wistfulness",ECL
"Basri, Tomorrow's Champion",PDFT
"Lumen-Class Frigate",EOE
"Kraum, Violent Cacophony",OTJ
"Explosive Derailment",OTJ
"Plasma Bolt",EOE
"Jill, Shiva's Dominant // Shiva, Warden of Ice",PFIN
"Enduring Tenacity",DSK
"Sleep Magic",FIN
"Wary Zone Guard",YDSK
"Colossal Rattlewurm",OTJ
"Amalia Benavides Aguirre",PLCI
"They Went This Way",MKM
"Wraith, Vicious Vigilante",OM1
"Nullpriest of Oblivion",FDN
"Cut Propulsion",EOE
"Waterbender Ascension",PTLA
"Living Brain, Mechanical Marvel",SPM
"Heroes' Bane",FDN
"Exdeath, Void Warlock // Neo Exdeath, Dimension's End",FIN
"Breeding Pool",EOE
"Mongoose Lizard",TLA
"Coalstoke Gearhulk",DFT
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied",FIN
"Runescale Stormbrood // Chilling Screech",TDM
"Ba Sing Se",TLA
"Lumbering Worldwagon",DFT
"Emet-Selch, Unsundered // Hades, Sorcerer of Eld",FIN
"Dreadwing Scavenger",FDN
"Uncharted Haven",BLB
"Spider-Bot",OM1
"Extravagant Replication",PFDN
"Gigantoad",FIN
"Ogre Chitterlord",WOE
"Warden of the Grove",PTDM
"n Offer You Can't Refuse",FDN
"Perimeter Enforcer",MKM
"Summon: Esper Ramuh",FIN
"Nexus of Becoming",BIG
"Season of Gathering",BLB
"Honest Rutstein",OTJ
"Manifold Mouse",BLB
"Pyroclasm",DSK
"Crime Novelist",MKM
"Genji Glove",FIN
"Give In to Violence",DSK
"Merchant of Many Hats",TLA
"Mm'menon, the Right Hand",EOE
"Werefox Bodyguard",WOE
"Mocking Sprite",WOE
"Guidelight Synergist",DFT
"Island",SPM
"Blossoming Defense",ECL
"Expose the Culprit",MKM
"Wrangler of the Damned",OTJ
"gatha's Soul Cauldron",WOE
"Heroic Reinforcements",FDN
"Dragonskull Summit",YEOE
"Restless Anchorage",LCI
"Tempest Angler",BLB
"Conspiracy Unraveler",MKM
"Flock Impostor",ECL
"Repurposing Bay",DFT
"Guarded Heir",FDN
"Huatli, Poet of Unity // Roar of the Fifth People",LCI
"Seifer Almasy",PFIN
"Decadent Dragon // Expensive Taste",PWOE
"Temple of Triumph",FDN
"Kavaron, Memorial World",EOE
"Bonehoard Dracosaur",PLCI
"Projektor Inspector",MKM
"Abigale, Eloquent First-Year",PECL
"Tyvar, the Pummeler",PDSK
"The Speed Demon",DFT
"Floodfarm Verge",DSK
"Iron Spider, Stark Upgrade",PSPM
"Mm'menon, the Right Hand",EOE
"Echoing Deeps",LCI
"Sentinel of the Nameless City",LCI
"Traveling Chocobo",FIN
"Wylie Duke, Atiin Hero",OTJ
"Byway Barterer",BLB
"Migrating Ketradon",DFT
"Rakdos, Patron of Chaos",MKM
"Zahur, Glory's Past",DFT
"Mimeoplasm, Revered One",DFT
"Mimeoplasm, Revered One",DFT
"Roaming Throne",LCI
"Dracogenesis",PTDM
"Gallant Citizen",SPM
"Vector, Imperial Capital",FIN
"Death Begets Life",PTDM
"Flesh Burrower",DSK
"Quintorius Kand",LCI
"Kylox, Visionary Inventor",PMKM
"Gloomlake Verge",PDSK
"Overlord of the Floodpits",DSK
"Ghost Vacuum",PDSK
"The Ancient One",PLCI
"Unstoppable Slasher",DSK
"Ooze Patrol",DFT
"Dragonologist",TDM
"Iroh, Tea Master",TLA
"Surrak, Elusive Hunter",TDM
"Island",BLB
"Highspire Bell-Ringer",TDM
"Vanille, Cheerful l'Cie // Ragnarok, Divine Deliverance",FIN
"Island",DFT
"Refute",FDN
"Voyager Glidecar",PDFT
"Crystal Barricade",FDN
"Rootrider Faun",WOE
"Illusion Spinners",ECL
"Restless Anchorage",PLCI
"Peter Parker // Amazing Spider-Man",SPM
"Forgotten Monument",LCI
"High-Society Hunter",FDN
"Spinewoods Paladin",OTJ
"Swamp",FIN
"Stillness in Motion",TDM
"Eluge, the Shoreless Sea",BLB
"Burning Curiosity",ECL
"Explosive Getaway",PDFT
"Bulwark Ox",DFT
"Pretending Poxbearers",TLA
"mbrosia Whiteheart",FIN
"Fire Nation Cadets",TLA
"Impostor Syndrome",SPM
"Bioengineered Future",PEOE
"Niko, Light of Hope",DSK
"Kylox's Voltstrider",MKM
"Wan Shi Tong, Librarian",TLA
"Timeline Culler",EOE
"Prismatic Undercurrents",ECL
"Xu-Ifit, Osteoharmonist",PEOE
"Guru Pathik",TLA
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied",FIN
"Rally the Monastery",TDM
"Garna, Bloodfist of Keld",FDN
"Virtue of Knowledge // Vantress Visions",WOE
"Juggle the Performance",YMKM
"Homunculus Horde",FDN
"Valgavoth's Onslaught",PDSK
"Maximum Carnage",PSPM
"Behold the Sinister Six!",SPM
"Hedge Shredder",DSK
"ssimilation Aegis",POTJ
"Karakyk Guardian",TDM
"Swamp",TDM
"Walltop Sentries",TLA
"J. Jonah Jameson",SPM
"Sygg, Wanderwine Wisdom // Sygg, Wanderbrine Shield",ECL
"ngel of Vitality",FDN
"Dion, Bahamut's Dominant // Bahamut, Warden of Light",FIN
"Hardened Tactician",TDM
"Beast-Kin Ranger",FDN
"The Wandering Minstrel",FIN
"Inti, Seneschal of the Sun",PLCI
"Ajani, Caller of the Pride",FDN
"Sovereign Okinec Ahau",PLCI
"The Endstone",EOE
"Koma, World-Eater",FDN
"Magda, the Hoardmaster",POTJ
"delbert Steiner",FIN
"Zahur, Glory's Past",DFT
"From Father to Son",FIN
"Raucous Theater",PMKM
"Terra, Magical Adept // Esper Terra",FIN
"Savage Mansion",OM1
"Araña, Heart of the Spider",SPM
"Island",DFT
"Caradora, Heart of Alacria",DFT
"Hide on the Ceiling",SPM
"Chorale of the Void",PEOE
"Seismic Rupture",FDN
"Glen Elendra's Answer",ECL
"Sword of Wealth and Power",BIG
"Clay-Fired Bricks // Cosmium Kiln",LCI
"Homicide Investigator",MKM
"Unstable Glyphbridge // Sandswirl Wanderglyph",LCI
"Morlun, Devourer of Spiders",OM1
"Stomping Ground",PEOE
"Dream Spoilers",WOE
"For the Common Good",PBLB
"Cecil, Dark Knight // Cecil, Redeemed Paladin",FIN
"Presumed Dead",MKM
"Debris Beetle",PDFT
"Iroh, Grand Lotus",PTLA
"Bristly Bill, Spine Sower",OTJ
"Case of the Market Melee",YMKM
"Harrowing Swarm",YDSK
"Prickly Pair",OTJ
"Perilous Snare",PDFT
"Wylie Duke, Atiin Hero",POTJ
"gonasaur Rex",DFT
"Damage Control Crew",SPM
"Maximum Carnage",SPM
"Legion Extruder",BIG
"Knight of Malice",FDN
"Aang, at the Crossroads // Aang, Destined Savior",TLA
"Basilisk Collar",FDN
"Brigid's Command",ECL
"Kin-Tree Severance",TDM
"Valley Floodcaller",BLB
"Gran Pulse Ochu",FIN
"Bewildering Blizzard",TDM
"Rocky Roads",DFT
"Hovel Hurler",ECL
"Betor, Kin to All",TDM
"Thornvault Forager",BLB
"Plains",DSK
"Cactuar",FIN
"Searslicer Goblin",FDN
"Hearth Elemental // Stoke Genius",WOE
"Adagia, Windswept Bastion",EOE
"Lightning, Security Sergeant",FIN
"Plundering Pirate",LCI
"Quag Feast",DFT
"Shadow of the Goblin",SPM
"Kinscaer Sentry",PECL
"The Aetherspark",DFT
"Progenitus",FDN
"Mightform Harmonizer",EOE
"Talion's Messenger",PWOE
"The Pride of Hull Clade",PMKM
"Morlun, Devourer of Spiders",SPM
"Oviya, Automech Artisan",DFT
"Thopter Fabricator",PDFT
"Tenth District Hero",PMKM
"Cosmogrand Zenith",EOE
"Sazh Katzroy",FIN
"Orzhov Guildgate",FDN
"Radioactive Spider",SPM
"Far Fortune, End Boss",DFT
"Esper Origins // Summon: Esper Maduin",FIN
"Rimefur Reindeer",WOE
"Tender Wildguide",PBLB
"Stegron the Dinosaur Man",OM1
"Doc Ock's Tentacles",OM1
"Vanish from Sight",DSK
"Noctis, Prince of Lucis",FIN
"Winter, Misanthropic Guide",PDSK
"Kaervek, the Punisher",POTJ
"Geralf, the Fleshwright",POTJ
"Bloodline Bidding",PECL
"Shinestriker",ECL
"Three Tree Mascot",BLB
"Scavenger Regent // Exude Toxin",PTDM
"Champion of the Clachan",ECL
"Long Goodbye",MKM
"Drakuseth, Maw of Flames",PFDN
"Mountain",ECL
"Deepmuck Desperado",OTJ
"Dour Port-Mage",PBLB
"Magitek Scythe",FIN
"Zuko, Exiled Prince",TLA
"Jenova, Ancient Calamity",FIN
"Besotted Knight // Betroth the Beast",WOE
"The Endstone",EOE
"Reno and Rude",FIN
"Portent of Calamity",BLB
"Boggart Mischief",ECL
"Spider-Mobile",SPM
"Forest",EOE
"Swamp",ECL
"Station Monitor",EOE
"Salvation Engine",DFT
"Squire's Lightblade",EOE
"Seeker's Folly",FDN
"Ghalta, Primal Hunger",FDN
"Wylie Duke, Atiin Hero",POTJ
"Dwynen, Gilt-Leaf Daen",FDN
"Hostile Investigator",BIG
"South Pole Voyager",PTLA
"Ojer Axonil, Deepest Might // Temple of Power",LCI
"Uthros, Titanic Godcore",PEOE
"Forest",DFT
"Ragnarok, Divine Deliverance",FIN
"Spectacular Spider-Man",SPM
"Spiral into Solitude",ECL
"Song of Totentanz",PWOE
"Emberheart Challenger",PBLB
"Cosmic Spider-Man",PSPM
"Secret Tunnel",PTLA
"Hidden Nursery",LCI
"The Lunar Whale",FIN
"Ghost Vacuum",DSK
"Biotech Specialist",EOE
"Burnout Bashtronaut",DFT
"Madame Web, Clairvoyant",SPM
